social.harding.dev,1,"No racism, sexism, homophobia, transphobia, xenophobia, or any other form of discrimination."
jplocalization.social,1,"No racism, sexism, homophobia, transphobia, xenophobia, or any other type of discrimination allowed"
thefolklore.cafe,2,"No racism, sexism, homophobia, transphobia, xenophobia, or bigotry in general"
generic.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
genomic.social,5,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
1210.nl,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
datasci.social,3,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
bearologics.social,1,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
decentralis.social,20,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
ecoevo.social,5,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
edtechme.org,3,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
404.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
anywise.net,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
dembowski.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
besci.network,1,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
bird.rodeo,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
eu.mastodon.green,16,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
eupolicy.social,9,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
brewing.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
btr.net,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
a2mi.social,4,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
bildung.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
binsec.social,3,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
bvp.me,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
frankly.social,5,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
appellate.social,8,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
birdon.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
artsio.com,8,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
feed.preston-ct.us,3,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
freedomofspee.ch,13,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
fax.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
gott.social,1,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
adventures.social,4,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
developer.social,3,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
blackrock.city,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
bytetower.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism"
