allthingstech.social,2,"No racism, sexism, homophobia, transphobia or anything similar!"
geobla.net,3,"No racism, sexism, homophobia, transphobia or xenophobia!"
subdued.social,1,"NO RACISM, SEXISM, HOMOPHOBIA, TRANSPHOBIA OR XENOPHOBIA."
vis.social,10,"NO RACISM, SEXISM, HOMOPHOBIA, TRANSPHOBIA OR XENOPHOBIA."
m.kawaii.gg,3,"No racism, sexism, homophobia, transphobia, able-ism, etc."
orbiscognito.com,1,"No racism, sexism, homophobia, transphobia, able-ism, etc."
scholar.social,1,"No racism, sexism, homophobia, transphobia, able-ism, etc."
religion.masto.host,2,"No racism, sexism, homophobia, transphobia, able-ism, etc."
social.awcca.community,9,"No racism, sexism, homophobia, transphobia, able-ism, etc."
press.community,1,"No racism, sexism, homophobia, transphobia, able-ism, etc."
airpollution.science,1,"No racism, sexism, homophobia, transphobia, able-ism, xenophobia, etc."
ap.pachy.social,2,"No racism, sexism, homophobia, transphobia, ableism or other hateful conduct"
thetavern.social,2,"No racism, sexism, homophobia, transphobia, ableism or other hateful conduct
"
flyovercountry.social,9,"No racism, sexism, homophobia, transphobia, ableism, fatmisia, xenophobia, casteism, and/or violent nationalism or the advocacy of any of the above."
rubberchicken.social,1,"No racism, sexism, homophobia, transphobia, ableism, or other discriminatory or hateful content.
"
divas.joburg,3,"No racism, sexism, homophobia, transphobia, and/or casteism. Kinda the same as the above two rules, but let me spell it out here."
kind.social,3,"No racism, sexism, homophobia, transphobia, antisemitism, ableism, harassment, or other hateful conduct. Please, also report it whenever seen."
progressivecafe.social,1,"No racism, sexism, homophobia, transphobia, antisemitism, hate speech, ableism, or gender discrimination."
pie.gd,1,"No racism, sexism, homophobia, transphobia, antisemitism, xenophobia, casteism, or similar behavior."
alva.host,1,"no racism, sexism, homophobia, transphobia, classism, chauvinism.
Kein Rassimus, Sexismus, Homo- oder Transfeindlichkeit, Klassismus, Chauvinismus."
vixen.zone,24,"No racism, sexism, homophobia, transphobia, hate material or discrimination of any kind"
daedal.io,15,"No racism, sexism, homophobia, transphobia, or discrimination based on physical appearance, body size, race, ethnicity, or religion"
brands.town,2,"No racism, sexism, homophobia, transphobia, or other bigotry of any kind is allowed."
mastodon.transneptune.net,1,"No racism, sexism, homophobia, transphobia, or other bigotry."
mast.giants-club.net,1,"No racism, sexism, homophobia, transphobia, or other hate speech will be tolerated."
billsmafia.social,5,"No racism, sexism, homophobia, transphobia, or xenophobia."
discuss.smash.today,1,"No racism, sexism, homophobia, transphobia, or xenophobia."
mstdn.business,3,"No racism, sexism, homophobia, transphobia, or xenophobia."
things.uk,1,"No racism, sexism, homophobia, transphobia, or xenophobia.
"
spruce.ink,2,"No racism, sexism, homophobia, transphobia, or xenophobia. No hate. "
neurodifferent.me,6,"No racism, sexism, homophobia, transphobia, queerphobia, able-ism, etc. will be tolerated."
mastodon.design,3,"No racism, sexism, homophobia, transphobia, validism, xenophobia, or casteism"
mstdn.is,2,"No racism, sexism, homophobia, transphobia, xenophobia"
streamers.social,14,"No racism, sexism, homophobia, transphobia, xenophobia"
agilist.social,1,"No racism, sexism, homophobia, transphobia, xenophobia or any other hate speech."
moth.social,4,"No racism, sexism, homophobia, transphobia, xenophobia or casteism"
crispsandwi.ch,7,"No racism, sexism, homophobia, transphobia, xenophobia or other discrimination"
benehomini.social,3,"No racism, sexism, homophobia, transphobia, xenophobia, able-ism, casteism, etc."
akademienl.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, able-ism, etc."
studentchristianmovement.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, ableism"
autonomous.zone,3,"No racism, sexism, homophobia, transphobia, xenophobia, ableism and classism"
archaeo.social,1,"No racism, sexism, homophobia, transphobia, xenophobia, ableism or casteism"
skeptics.social,2,"No racism, sexism, homophobia, transphobia, xenophobia, ableism or casteism"
mastodon.fedi.100terres.com,3,"No racism, sexism, homophobia, transphobia, xenophobia, ableism, ageism, casteism or othering."
urusai.social,15,"No racism, sexism, homophobia, transphobia, xenophobia, ableism, casteism, or any other bigotry"
deacon.social,4,"No racism, sexism, homophobia, transphobia, xenophobia, ableism, or casteism"
dftba.club,6,"No racism, sexism, homophobia, transphobia, xenophobia, ableism, or casteism"
provo.lol,2,"No racism, sexism, homophobia, transphobia, xenophobia, ableism, or casteism"
akiba.party,7,"No racism, sexism, homophobia, transphobia, xenophobia, ableism, or other forms of bigotry against vulnerable populations."
lansley.com,1,"No racism, sexism, homophobia, transphobia, xenophobia, ageism, ableism or casteism."
bbq.snoot.com,2,"No racism, sexism, homophobia, transphobia, xenophobia, ageism, or casteism"
hackerspace.au,4,"No racism, sexism, homophobia, transphobia, xenophobia, anti-Semitism, or casteism"
mastodon.cannerycoders.com,2,"No racism, sexism, homophobia, transphobia, xenophobia, anti-Semitism, or casteism"
makerspace.au,4,"No racism, sexism, homophobia, transphobia, xenophobia, anti-Semitism, or casteism"
indieweb.social,4,"No racism, sexism, homophobia, transphobia, xenophobia, anti-Semitism, or casteism"
musician.social,4,"No racism, sexism, homophobia, transphobia, xenophobia, anti-Semitism, or casteism"
nerd.garden,3,"No racism, sexism, homophobia, transphobia, xenophobia, anti-Semitism, or casteism"
satori.cafe,2,"No racism, sexism, homophobia, transphobia, xenophobia, anti-Semitism, or casteism, see rule 1."
rethinkplaces.social,1,"No racism, sexism, homophobia, transphobia, xenophobia, anti-Semitism, or casteism.
"
pandapla.net,2,"No racism, sexism, homophobia, transphobia, xenophobia, antisemetism, or casteism"
semiosen.de,2,"No racism, sexism, homophobia, transphobia, xenophobia, antisemitism of all kind and no NS-trivialization // Keine gruppenbezogene Menscheinfeindlichkeit wie Rassismus, Sexismus, Homo- und Transfeindlichkeit, Xenophobie, kein Antisemitismus jeder Art und keine NS-Verharmlosung
"
geneadon.social,3,"No racism, sexism, homophobia, transphobia, xenophobia, antisemitism, or casteism."
gratefuldread.masto.host,1,"No racism, sexism, homophobia, transphobia, xenophobia, antisemitism, or casteism."
fintech.eco,6,"No racism, sexism, homophobia, transphobia, xenophobia, antisemitism, or casteism."
journa.host,10,"No racism, sexism, homophobia, transphobia, xenophobia, antisemitism, or casteism."
publishing.social,1,"No racism, sexism, homophobia, transphobia, xenophobia, antisemitism, or casteism."
a11y.info,8,"No racism, sexism, homophobia, transphobia, xenophobia, casteism or ableism"
fireplace.cafe,1,"No racism, sexism, homophobia, transphobia, xenophobia, casteism or bigotry"
syringa.social,9,"No racism, sexism, homophobia, transphobia, xenophobia, casteism or fascism. "
fedi.xamk.fi,12,"No racism, sexism, homophobia, transphobia, xenophobia, casteism or other discrimination against minorities."
mastodon.vapronva.pw,5,"No racism, sexism, homophobia, transphobia, xenophobia, casteism or pedophilia."
astrosocial.space,1,"No racism, sexism, homophobia, transphobia, xenophobia, casteism or sexually explicit content."
mastodon.gardensoul.org,1,"No racism, sexism, homophobia, transphobia, xenophobia, casteism, and other forms of discrimination."
cosocial.ca,3,"No racism, sexism, homophobia, transphobia, xenophobia, casteism, fatphobia, or other forms of bigotry"
ottawa.place,14,"No racism, sexism, homophobia, transphobia, xenophobia, casteism, fatphobia, or other forms of bigotry"
mastocomm.org,1,"No racism, sexism, homophobia, transphobia, xenophobia, casteism, or any other form of hate."
misfittoys.social,17,"No racism, sexism, homophobia, transphobia, xenophobia, casteism, or discrimination based on *lack of* net worth."
mastodon.shatteredsky.net,3,"No racism, sexism, homophobia, transphobia, xenophobia, casteism, or other behavior of the kind."
our.devchatter.com,4,"No racism, sexism, homophobia, transphobia, xenophobia, etc. (see rule 1)"
arthropod.social,1,"No racism, sexism, homophobia, transphobia, xenophobia, etc., "
veganism.social,27,"No racism, sexism, homophobia, transphobia, xenophobia, fatphobia, or casteism"
caleida.com,5,"No racism, sexism, homophobia, transphobia, xenophobia, or ableism"
